name,link_id,osm_way_id,from_node_id,to_node_id,dir_flag,length,lanes,free_speed,capacity,link_type_name,link_type,geometry,allowed_uses,from_biway,is_link,VDF_fftt1,VDF_cap1
East Orange Street,850,656385562,237,202,1,181.74,,40,,residential,6,"LINESTRING (-111.9205552 33.4187226, -111.9203596 33.4187002, -111.9201861 33.4186500, -111.9200369 33.4185727, -111.9198051 33.4184580, -111.9196740 33.4184222, -111.9195587 33.4184066, -111.9195343 33.4184070, -111.9194821 33.4184078, -111.9191918 33.4184073, -111.9191623 33.4184072, -111.9190885 33.4184071, -111.9186841 33.4184064)",auto,1,0,,
East Orange Street,851,656385562,202,237,1,181.74,,40,,residential,6,"LINESTRING (-111.9186841 33.4184064, -111.9190885 33.4184071, -111.9191623 33.4184072, -111.9191918 33.4184073, -111.9194821 33.4184078, -111.9195343 33.4184070, -111.9195587 33.4184066, -111.9196740 33.4184222, -111.9198051 33.4184580, -111.9200369 33.4185727, -111.9201861 33.4186500, -111.9203596 33.4187002, -111.9205552 33.4187226)",auto,1,0,,
East Orange Street,852,656385562,202,142,1,88.86,,40,,residential,6,"LINESTRING (-111.9186841 33.4184064, -111.9181954 33.4184067, -111.9178114 33.4184058, -111.9177365 33.4183756)",auto,1,0,,
East Orange Street,853,656385562,142,202,1,88.86,,40,,residential,6,"LINESTRING (-111.9177365 33.4183756, -111.9178114 33.4184058, -111.9181954 33.4184067, -111.9186841 33.4184064)",auto,1,0,,
South Terrace Road,854,656385563,501,473,1,312.14,1,40,,tertiary,5,"LINESTRING (-111.9231790 33.4175290, -111.9234954 33.4178081, -111.9238039 33.4180747, -111.9238850 33.4181473, -111.9244087 33.4186100, -111.9245129 33.4187020, -111.9245914 33.4187710, -111.9247795 33.4189363, -111.9250379 33.4191712, -111.9250952 33.4192260, -111.9252892 33.4194071, -111.9253416 33.4194528, -111.9254075 33.4195146, -111.9254783 33.4195802)",auto,0,0,,
West University Drive,855,656408740,368,502,1,53.15,2,64,,primary,3,"LINESTRING (-111.9430383 33.4219283, -111.9431678 33.4219692, -111.9435164 33.4219473, -111.9435706 33.4219441, -111.9436000 33.4219433)",auto,0,0,,
East Apache Boulevard,856,658317842,115,377,1,180.7,2,56,,primary,3,"LINESTRING (-111.9147587 33.4148409, -111.9153960 33.4148476, -111.9156780 33.4148505, -111.9158907 33.4148527, -111.9163531 33.4148630, -111.9164760 33.4148657, -111.9167018 33.4148707)",auto,0,0,,
East Apache Boulevard,857,658317844,308,302,1,47.56,2,56,,primary,3,"LINESTRING (-111.9191579 33.4146605, -111.9190965 33.4146601, -111.9188238 33.4146585, -111.9187804 33.4146582, -111.9187150 33.4146579, -111.9186464 33.4146574)",auto,0,0,,
East Apache Boulevard,858,658319722,226,321,1,351.3,2,56,,primary,3,"LINESTRING (-111.9220806 33.4148179, -111.9221139 33.4148180, -111.9227934 33.4148210, -111.9232043 33.4148218, -111.9233989 33.4148225, -111.9235864 33.4148220, -111.9240547 33.4148207, -111.9243091 33.4148231, -111.9246025 33.4148259, -111.9255483 33.4148334, -111.9258589 33.4148320)",auto,0,0,,
West 9th Street,859,663021917,462,503,1,105.78,1,40,,residential,6,"LINESTRING (-111.9400470 33.4204936, -111.9403244 33.4204887, -111.9404473 33.4204877, -111.9406246 33.4204862, -111.9411404 33.4204828, -111.9411847 33.4204824)",auto,1,0,,
West 9th Street,860,663021917,503,462,1,105.78,1,40,,residential,6,"LINESTRING (-111.9411847 33.4204824, -111.9411404 33.4204828, -111.9406246 33.4204862, -111.9404473 33.4204877, -111.9403244 33.4204887, -111.9400470 33.4204936)",auto,1,0,,
East Broadway Road,861,692089611,35,434,1,90.53,2,,,secondary,4,"LINESTRING (-111.9279752 33.4075028, -111.9273424 33.4075066, -111.9272515 33.4075072, -111.9270016 33.4075087)",auto,1,0,,
East Broadway Road,862,692089611,434,35,1,90.53,2,,,secondary,4,"LINESTRING (-111.9270016 33.4075087, -111.9272515 33.4075072, -111.9273424 33.4075066, -111.9279752 33.4075028)",auto,1,0,,
East Broadway Road,863,692089612,35,116,1,98.71,2,,,secondary,4,"LINESTRING (-111.9279752 33.4075028, -111.9281503 33.4075457, -111.9290294 33.4075390)",auto,0,0,,
East Broadway Road,864,692089612,116,90,1,101.63,2,,,secondary,4,"LINESTRING (-111.9290294 33.4075390, -111.9301223 33.4075271)",auto,0,0,,
East Broadway Road,865,692089612,90,246,1,94.46,2,,,secondary,4,"LINESTRING (-111.9301223 33.4075271, -111.9305887 33.4075251, -111.9308439 33.4075242, -111.9311382 33.4075231)",auto,0,0,,
East Broadway Road,866,692089612,246,504,1,267.81,2,,,secondary,4,"LINESTRING (-111.9311382 33.4075231, -111.9316241 33.4075190, -111.9338120 33.4075039, -111.9340097 33.4074546)",auto,0,0,,
East Broadway Road,867,692089613,504,247,1,267.5,2,,,secondary,4,"LINESTRING (-111.9340097 33.4074546, -111.9337872 33.4074141, -111.9316164 33.4074287, -111.9311381 33.4074330)",auto,0,0,,
East Broadway Road,868,692089613,247,117,1,196.22,2,,,secondary,4,"LINESTRING (-111.9311381 33.4074330, -111.9308399 33.4074356, -111.9305975 33.4074377, -111.9302167 33.4074389, -111.9294690 33.4074414, -111.9290279 33.4074428)",auto,0,0,,
East Broadway Road,869,692089613,117,35,1,98.81,2,,,secondary,4,"LINESTRING (-111.9290279 33.4074428, -111.9284698 33.4074493, -111.9281491 33.4074530, -111.9279752 33.4075028)",auto,0,0,,
